name,home,away,homeTotal,awayTotal,period,match_id
Passes,584,530,,,ALL,11352588
Accurate passes,490 ,435 ,,,ALL,11352588
Long balls,33,25,66.0,55.0,ALL,11352588
Crosses,6,2,22.0,11.0,ALL,11352588
Passes,318,275,,,1st,11352588
Accurate passes,271 ,231 ,,,1st,11352588
Long balls,18,17,39.0,28.0,1st,11352588
Crosses,2,2,3.0,8.0,1st,11352588
Passes,266,255,,,2nd,11352588
Accurate passes,219 ,204 ,,,2nd,11352588
Long balls,15,8,27.0,27.0,2nd,11352588
Crosses,4,0,19.0,3.0,2nd,11352588
