name,home,away,period,match_id
Tackles,23,15,ALL,11352588
Interceptions,12,12,ALL,11352588
Clearances,13,18,ALL,11352588
Tackles,13,7,1st,11352588
Interceptions,9,7,1st,11352588
Clearances,9,3,1st,11352588
Tackles,10,8,2nd,11352588
Interceptions,3,5,2nd,11352588
Clearances,4,15,2nd,11352588
